relative_time,AccX,AccY,AccZ,DecibelSource
0,-1.0517129516601562,8.536598052978515,4.982838134765625,58.881013925455015
30,-1.0361453247070314,8.312514038085938,5.104535064697266,61.324783830808684
96,-0.991388397216797,8.37688018798828,4.810995483398438,62.297289288543794
163,-1.0015672302246095,8.093968505859376,4.638703765869141,61.464114754200864
229,-0.7083270263671876,8.723708953857422,5.129533081054688,59.570001913673764
296,-0.3646417236328125,8.92039993286133,5.2331176757812505,61.12905150766379
363,0.4260140991210938,9.485474853515626,5.106930084228516,62.58718196649575
431,-0.006586303710937501,8.844507751464844,2.901266784667969,62.0537220095105
496,-0.8264314270019532,9.284891967773438,2.314786376953125,60.93207637319146
563,-1.4126124572753906,9.088051300048829,2.7358607482910156,61.73847117161719
631,-2.810705108642578,8.782835998535157,2.506387939453125,59.58121241122575
696,-3.744313659667969,8.34948715209961,3.459755401611328,58.6801163542703
763,-2.844834136962891,8.608448638916016,3.5281631469726564,58.91478915959973
831,-1.8073416137695313,9.449100494384766,3.227139129638672,59.47088011403015
896,-2.064357147216797,9.058712310791016,3.0061985778808595,56.80975150507997
963,-1.5778688049316407,8.962013397216797,3.458258514404297,56.349717416709275
1031,-1.292113037109375,9.264683990478517,4.045786743164062,58.15478128073365
1096,-0.6059399414062501,9.021739196777345,4.257745971679688,59.305996221664174
1163,-0.3146456909179688,8.967102813720704,3.7027001953125,58.41839182172498
1231,-0.6758445739746094,9.076824645996094,3.3754806518554688,56.09952794349297
1296,-0.8448431396484375,8.967102813720704,3.70030517578125,54.12395020301894
1363,-0.4028123474121094,9.187893676757813,4.180656280517578,57.372721765355436
1431,0.17797988891601563,8.801547088623048,4.619543609619141,57.70486019575519
1496,-0.3502716064453125,8.413853302001954,4.625082092285156,56.13036944866269
1563,-0.8659492492675782,8.721313934326172,3.7776942443847656,57.839421497672
1631,-1.0521620178222657,9.269474029541016,2.968327331542969,59.079984438192916
1696,-0.743653564453125,9.207951965332033,3.9486387634277347,60.796113464530386
1763,-0.6110293579101563,8.609795837402345,4.628524932861328,62.038449328824356
1831,-0.38215530395507813,8.782237243652345,4.224215698242188,64.90394101389056
1896,-0.5757028198242188,8.916358337402345,3.7163218688964847,64.6474745428088
1963,-0.569864959716797,9.140891418457032,4.0513252258300785,60.436392734774394
2030,-0.09729766845703125,8.969198455810547,3.9366636657714844,58.60352981984589
2096,-0.5966592407226563,9.244476013183593,3.899840240478516,58.18373053586682
2163,-0.3864962768554688,8.703800354003906,3.589685211181641,58.49309444129345
2231,-0.7048841857910156,9.592651977539063,3.9616616821289066,53.59040128342337
2296,-1.1136840820312501,9.166338500976563,3.545527038574219,48.82900043143873
2363,-1.9978953552246095,8.750203857421875,3.9806721496582034,51.22422323931973
2431,-2.3598426818847655,8.891360321044923,4.263883209228516,54.09393722584386
2496,-2.1243823242187503,8.673413543701173,3.373983764648438,52.7292482950778
